timestamp,AAVE,ADA,BTC,DOGE,ETH,SOL
2021-10-19 12:00:00+00:00,0,0,1,0,1,0
2021-10-21 12:00:00+00:00,0,0,1,0,1,0
2021-10-22 15:00:00+00:00,0,0,1,0,1,0
2021-10-23 00:00:00+00:00,0,0,1,0,1,0
2021-10-24 18:00:00+00:00,0,0,0,0,1,0
2021-10-30 15:00:00+00:00,0,0,0,0,1,0
2021-11-08 00:00:00+00:00,0,0,0,0,1,0
2021-11-09 03:00:00+00:00,0,0,1,0,1,0
2021-11-11 00:00:00+00:00,0,0,1,0,1,0
2021-11-12 12:00:00+00:00,0,0,1,0,1,0
2021-11-15 00:00:00+00:00,0,0,0,0,1,0
2021-11-30 21:00:00+00:00,0,0,1,0,0,0
2021-12-04 00:00:00+00:00,0,0,1,0,0,0
2021-12-21 21:00:00+00:00,0,0,1,0,0,0
2021-12-22 15:00:00+00:00,1,0,1,0,0,0
2021-12-23 00:00:00+00:00,1,0,1,0,0,0
2021-12-23 15:00:00+00:00,1,0,1,0,0,0
2021-12-28 21:00:00+00:00,1,0,1,0,0,0
2021-12-29 18:00:00+00:00,1,0,1,0,0,0
2022-01-04 12:00:00+00:00,1,0,0,0,0,0
2022-01-07 03:00:00+00:00,1,0,0,0,0,0
2022-02-02 12:00:00+00:00,0,0,0,0,1,0
2022-02-02 15:00:00+00:00,0,0,0,0,1,0
2022-02-04 18:00:00+00:00,0,0,0,0,1,0
2022-02-05 09:00:00+00:00,0,0,1,0,1,0
2022-02-05 21:00:00+00:00,0,1,1,0,1,0
2022-02-07 15:00:00+00:00,0,1,1,0,1,0
2022-02-08 09:00:00+00:00,0,1,1,0,1,0
2022-02-12 00:00:00+00:00,0,1,1,0,1,0
2022-02-13 15:00:00+00:00,0,1,1,0,1,0
2022-02-16 18:00:00+00:00,0,0,1,0,1,0
2022-02-18 00:00:00+00:00,0,0,1,0,0,0
2022-02-19 21:00:00+00:00,0,0,1,0,0,0
2022-03-01 09:00:00+00:00,0,1,0,0,1,0
2022-03-01 21:00:00+00:00,0,1,1,0,1,0
2022-03-03 06:00:00+00:00,0,1,1,0,1,0
2022-03-03 18:00:00+00:00,0,1,1,0,1,0
2022-03-07 03:00:00+00:00,0,1,1,0,1,0
2022-03-07 09:00:00+00:00,0,1,1,0,0,0
2022-03-08 21:00:00+00:00,0,0,1,0,0,0
2022-03-16 18:00:00+00:00,1,0,0,0,0,0
2022-03-17 09:00:00+00:00,1,0,0,0,1,0
2022-03-17 12:00:00+00:00,1,0,0,0,1,0
2022-03-19 06:00:00+00:00,1,0,1,0,1,0
2022-03-19 12:00:00+00:00,1,0,1,0,1,0
2022-03-22 06:00:00+00:00,1,0,1,0,1,0
2022-03-24 03:00:00+00:00,1,0,1,0,1,0
2022-03-27 21:00:00+00:00,1,0,1,0,1,0
2022-04-06 21:00:00+00:00,1,0,1,0,1,0
2022-04-12 06:00:00+00:00,1,0,0,0,1,0
2022-04-15 06:00:00+00:00,0,0,0,0,1,0
2022-04-21 12:00:00+00:00,0,1,0,0,0,0
2022-04-21 21:00:00+00:00,0,1,0,0,0,0
2022-04-23 06:00:00+00:00,0,1,0,0,0,0
2022-05-05 00:00:00+00:00,0,1,0,0,0,0
2022-05-05 06:00:00+00:00,0,1,0,0,0,0
2022-05-05 12:00:00+00:00,0,1,1,0,0,0
2022-05-05 18:00:00+00:00,0,1,1,0,0,0
2022-05-08 00:00:00+00:00,0,1,0,0,0,0
2022-05-15 12:00:00+00:00,0,1,0,0,0,0
2022-05-16 03:00:00+00:00,0,1,0,0,0,0
2022-05-19 03:00:00+00:00,0,1,0,0,0,0
2022-05-26 15:00:00+00:00,0,1,0,0,0,0
2022-05-29 12:00:00+00:00,0,0,0,0,0,0
2022-05-30 06:00:00+00:00,0,1,1,0,0,0
2022-05-30 21:00:00+00:00,1,1,1,0,0,0
2022-05-31 00:00:00+00:00,1,1,1,1,0,0
2022-05-31 15:00:00+00:00,1,1,1,1,0,0
2022-06-01 21:00:00+00:00,1,1,1,1,0,0
2022-06-03 15:00:00+00:00,1,1,1,1,0,0
2022-06-11 03:00:00+00:00,1,1,1,1,0,0
2022-06-12 06:00:00+00:00,0,1,1,1,0,0
2022-06-13 00:00:00+00:00,0,1,1,0,0,0
2022-06-13 06:00:00+00:00,0,1,1,0,0,0
2022-06-14 00:00:00+00:00,0,1,0,0,0,0
2022-06-20 12:00:00+00:00,0,0,0,0,0,1
2022-06-24 12:00:00+00:00,0,0,0,0,0,1
2022-06-27 09:00:00+00:00,0,0,0,1,0,1
2022-06-27 15:00:00+00:00,0,0,0,1,0,1
2022-06-29 18:00:00+00:00,0,0,0,1,0,1
2022-07-06 06:00:00+00:00,0,0,0,1,0,1
2022-07-06 21:00:00+00:00,0,0,1,1,0,0
2022-07-07 00:00:00+00:00,1,0,1,1,0,0
2022-07-07 18:00:00+00:00,1,0,1,1,0,0
2022-07-07 21:00:00+00:00,1,0,1,1,0,0
2022-07-08 06:00:00+00:00,1,1,1,1,0,0
2022-07-08 15:00:00+00:00,1,1,1,1,0,0
2022-07-09 03:00:00+00:00,1,1,1,1,0,0
2022-07-09 09:00:00+00:00,0,1,1,1,0,1
2022-07-09 21:00:00+00:00,1,1,1,1,0,1
2022-07-10 12:00:00+00:00,1,1,1,1,0,1
2022-07-10 18:00:00+00:00,1,1,1,1,0,1
2022-07-11 09:00:00+00:00,0,1,1,1,0,1
2022-07-12 09:00:00+00:00,0,0,1,1,0,1
2022-07-12 12:00:00+00:00,0,0,1,1,0,1
2022-07-14 18:00:00+00:00,1,0,1,0,0,1
2022-07-15 15:00:00+00:00,1,0,1,0,1,1
2022-07-16 03:00:00+00:00,1,0,1,0,1,1
2022-07-16 18:00:00+00:00,0,0,1,0,1,1
2022-07-18 06:00:00+00:00,0,0,1,0,1,1
2022-07-18 12:00:00+00:00,0,1,1,0,1,1
2022-07-18 21:00:00+00:00,0,1,1,0,1,1
2022-07-19 03:00:00+00:00,0,1,1,1,1,1
2022-07-20 09:00:00+00:00,0,1,1,1,1,1
2022-07-23 18:00:00+00:00,0,1,1,1,1,1
2022-07-25 21:00:00+00:00,0,0,1,1,1,1
2022-07-26 12:00:00+00:00,0,0,1,1,1,1
2022-07-27 18:00:00+00:00,1,0,1,0,1,1
2022-07-27 21:00:00+00:00,1,0,1,0,1,1
2022-07-28 12:00:00+00:00,1,1,1,0,1,1
2022-07-29 12:00:00+00:00,1,1,1,0,1,1
2022-07-29 18:00:00+00:00,1,1,1,0,1,0
2022-07-30 09:00:00+00:00,0,1,1,1,1,0
2022-07-31 00:00:00+00:00,0,1,1,1,1,0
2022-08-01 18:00:00+00:00,0,1,1,1,1,0
2022-08-04 12:00:00+00:00,0,0,1,1,1,0
2022-08-08 12:00:00+00:00,0,0,1,1,1,0
2022-08-08 18:00:00+00:00,0,1,1,1,1,0
2022-08-09 00:00:00+00:00,0,1,1,1,1,0
2022-08-09 15:00:00+00:00,0,1,0,1,1,0
2022-08-10 00:00:00+00:00,0,1,0,1,1,0
2022-08-10 03:00:00+00:00,1,0,0,1,1,0
2022-08-10 06:00:00+00:00,1,0,0,1,1,0
2022-08-10 09:00:00+00:00,1,0,0,1,0,0
2022-08-11 12:00:00+00:00,0,1,0,1,0,0
2022-08-12 21:00:00+00:00,1,1,0,1,0,0
2022-08-13 09:00:00+00:00,1,1,0,1,1,0
2022-08-14 03:00:00+00:00,1,1,0,1,1,0
2022-08-14 15:00:00+00:00,1,1,0,1,1,0
2022-08-14 18:00:00+00:00,1,1,0,1,1,0
2022-08-15 12:00:00+00:00,1,1,0,1,1,1
2022-08-16 12:00:00+00:00,1,1,0,1,1,1
2022-08-17 15:00:00+00:00,1,0,0,1,1,1
2022-08-17 21:00:00+00:00,1,0,0,1,1,1
2022-08-19 09:00:00+00:00,0,0,0,1,1,1
2022-08-19 15:00:00+00:00,0,0,0,1,1,0
2022-08-26 09:00:00+00:00,0,0,0,1,0,0
2022-09-03 18:00:00+00:00,0,1,0,0,0,0
2022-09-06 09:00:00+00:00,0,1,0,0,0,1
2022-09-06 18:00:00+00:00,0,1,0,0,0,1
